| Collection File | Total | Uploaded to R2 | % Status |
| --- | ---: | ---: | ---: |
| aic-collection | 40404 | 40374 | 🟢 100.0% |
| search-index-part-0 | 40000 | 0 | 🔴 0.0% |
| search-index-part-1 | 40000 | 0 | 🔴 0.0% |
| search-index-part-10 | 40000 | 0 | 🔴 0.0% |
| search-index-part-11 | 40000 | 0 | 🔴 0.0% |
| search-index-part-12 | 40000 | 0 | 🔴 0.0% |
| search-index-part-13 | 40000 | 0 | 🔴 0.0% |
| search-index-part-14 | 40000 | 0 | 🔴 0.0% |
| search-index-part-15 | 40000 | 0 | 🔴 0.0% |
| search-index-part-16 | 40000 | 0 | 🔴 0.0% |
| search-index-part-17 | 40000 | 0 | 🔴 0.0% |
| search-index-part-18 | 40000 | 0 | 🔴 0.0% |
| search-index-part-2 | 40000 | 0 | 🔴 0.0% |
| search-index-part-20 | 40000 | 0 | 🔴 0.0% |
| search-index-part-3 | 40000 | 0 | 🔴 0.0% |
| search-index-part-4 | 40000 | 0 | 🔴 0.0% |
| search-index-part-5 | 40000 | 0 | 🔴 0.0% |
| search-index-part-6 | 40000 | 0 | 🔴 0.0% |
| search-index-part-7 | 40000 | 0 | 🔴 0.0% |
| search-index-part-8 | 40000 | 0 | 🔴 0.0% |
| search-index-part-9 | 40000 | 0 | 🔴 0.0% |
| search-index-part-21 | 38821 | 0 | 🔴 0.0% |
| moma-collection | 27849 | 27849 | 🟢 100.0% |
| whitney-collection | 27379 | 0 | 🔴 0.0% |
| agnsw-list-temp | 17477 | 0 | 🔴 0.0% |
| ateneum-collection-15k-backup | 15408 | 0 | 🔴 0.0% |
| reina-sofia-collection-clean | 14712 | 0 | 🔴 0.0% |
| reina-sofia-collection | 14712 | 14664 | 🟡 99.7% |
| ntmofa-collection | 12957 | 0 | 🔴 0.0% |
| fine-arts-be-urls-temp | 12062 | 0 | 🔴 0.0% |
| agnsw-collection-fixed | 11800 | 0 | 🔴 0.0% |
| agnsw-collection | 11800 | 0 | 🔴 0.0% |
| vam-posters-display | 11653 | 0 | 🔴 0.0% |
| philadelphia-collection | 10937 | 0 | 🔴 0.0% |
| famsf-collections | 10605 | 8557 | 🟡 80.7% |
| valid-artists | 10451 | 0 | 🔴 0.0% |
| dpm-intl-paintings-all | 9970 | 9970 | 🟢 100.0% |
| belvedere-collection | 9263 | 0 | 🔴 0.0% |
| qagoma-collection | 8883 | 0 | 🔴 0.0% |
| ngs-all | 8721 | 8587 | 🟡 98.5% |
| mamcs-strasbourg-collection | 8525 | 8525 | 🟢 100.0% |
| rodin-collection | 8214 | 8214 | 🟢 100.0% |
| nasjonal-collection | 7975 | 0 | 🔴 0.0% |
| search-index-part-19 | 7734 | 0 | 🔴 0.0% |
| mnk-collection | 7314 | 0 | 🔴 0.0% |
| smk-collection | 7039 | 0 | 🔴 0.0% |
| mam-collection | 6474 | 0 | 🔴 0.0% |
| saam-paintings-full | 6426 | 6425 | 🟢 100.0% |
| seoul-museum-of-art-collection | 6167 | 0 | 🔴 0.0% |
| cma-collection | 5931 | 5907 | 🟡 99.6% |
| bordeaux-collection | 5598 | 5598 | 🟢 100.0% |
| ateneum-collection | 5367 | 0 | 🔴 0.0% |
| tfam-collection-all | 5271 | 0 | 🔴 0.0% |
| namoc-collection | 5216 | 0 | 🔴 0.0% |
| tepapa-collection | 4946 | 0 | 🔴 0.0% |
| ngv-collection | 4865 | 0 | 🔴 0.0% |
| mplus-collection-mplus | 4773 | 0 | 🔴 0.0% |
| vangogh-museum-collection | 4583 | 4480 | 🟡 97.8% |
| mucem-collection | 4314 | 0 | 🔴 0.0% |
| national-museum-korea | 4309 | 4308 | 🟢 100.0% |
| kanazawa-all | 4161 | 3809 | 🟡 91.5% |
| musee-conde-collection | 4136 | 0 | 🔴 0.0% |
| agnsw-collection-full | 4086 | 0 | 🔴 0.0% |
| sweden-collection | 3984 | 0 | 🔴 0.0% |
| ngprague-collection | 3855 | 0 | 🔴 0.0% |
| dia-collection | 3776 | 0 | 🔴 0.0% |
| high-collection | 3583 | 0 | 🔴 0.0% |
| picasso-paris-collection | 3487 | 0 | 🔴 0.0% |
| mamcs-strasbourg-drawings-collection | 3396 | 3396 | 🟢 100.0% |
| mah-collection-1771404087921 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771404306599 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771404526841 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771404737852 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771404952911 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771405167264 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771405381169 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771405613398 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771405830833 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771406047656 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771406269693 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771406486268 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771406700823 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771406921588 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771407135103 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771407349590 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771407563941 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771407777818 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771407992064 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771408207735 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771408421141 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771408635092 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771408849481 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771409065122 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771409279829 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771409493728 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771409708886 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771409922730 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771410136466 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771410346979 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771410561877 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771410773596 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771410989297 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771411205812 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771411416896 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771411633323 | 3384 | 0 | 🔴 0.0% |
