🏛️ Louvre Museum - Painting Collection Scraper
==================================================
병렬: 5개씩
==================================================

📋 Step 1: 작품 목록 수집...
  총 10861개 작품 예상

  페이지 1: 100개 수집됨
  페이지 2: 200개 수집됨
  페이지 3: 300개 수집됨
  페이지 4: 400개 수집됨
  페이지 5: 500개 수집됨
  페이지 6: 600개 수집됨
  페이지 7: 700개 수집됨
  페이지 8: 800개 수집됨
  페이지 9: 900개 수집됨
  페이지 10: 1000개 수집됨
  페이지 11: 1100개 수집됨
  페이지 12: 1200개 수집됨
  페이지 13: 1300개 수집됨
  페이지 14: 1400개 수집됨
  페이지 15: 1500개 수집됨
  페이지 16: 1600개 수집됨
  페이지 17: 1700개 수집됨
  페이지 18: 1800개 수집됨
  페이지 19: 1900개 수집됨
  페이지 20: 2000개 수집됨
  페이지 21: 2100개 수집됨
  페이지 22: 2200개 수집됨
  페이지 23: 2300개 수집됨
  페이지 24: 2400개 수집됨
  페이지 25: 2500개 수집됨
  페이지 26: 2600개 수집됨
  페이지 27: 2700개 수집됨
  페이지 28: 2800개 수집됨
  페이지 29: 2900개 수집됨
  페이지 30: 3000개 수집됨
  페이지 31: 3100개 수집됨
  페이지 32: 3200개 수집됨
  페이지 33: 3300개 수집됨
  페이지 34: 3400개 수집됨
  페이지 35: 3500개 수집됨
  페이지 36: 3600개 수집됨
  페이지 37: 3700개 수집됨
  페이지 38: 3800개 수집됨
  페이지 39: 3900개 수집됨
  페이지 40: 4000개 수집됨
  페이지 41: 4100개 수집됨
  페이지 42: 4200개 수집됨
  페이지 43: 4300개 수집됨
  페이지 44: 4400개 수집됨
  페이지 45: 4500개 수집됨
  페이지 46: 4600개 수집됨
  페이지 47: 4700개 수집됨
  페이지 48: 4800개 수집됨
  페이지 49: 4900개 수집됨
  페이지 50: 5000개 수집됨
  페이지 51: 5100개 수집됨
  페이지 52: 5200개 수집됨
  페이지 53: 5300개 수집됨
  페이지 54: 5400개 수집됨
  페이지 55: 5500개 수집됨
  페이지 56: 5600개 수집됨
  페이지 57: 5700개 수집됨
  페이지 58: 5800개 수집됨
  페이지 59: 5900개 수집됨
  페이지 60: 6000개 수집됨
  페이지 61: 6100개 수집됨
  페이지 62: 6200개 수집됨
  페이지 63: 6300개 수집됨
  페이지 64: 6400개 수집됨
  페이지 65: 6500개 수집됨
  페이지 66: 6600개 수집됨
  페이지 67: 6700개 수집됨
  페이지 68: 6800개 수집됨
  페이지 69: 6900개 수집됨
  페이지 70: 7000개 수집됨
  페이지 71: 7100개 수집됨
  페이지 72: 7200개 수집됨
  페이지 73: 7300개 수집됨
  페이지 74: 7400개 수집됨
  페이지 75: 7500개 수집됨
  페이지 76: 7600개 수집됨
  페이지 77: 7700개 수집됨
  페이지 78: 7800개 수집됨
  페이지 79: 7900개 수집됨
  페이지 80: 8000개 수집됨
  페이지 81: 8100개 수집됨
  페이지 82: 8200개 수집됨
  페이지 83: 8300개 수집됨
  페이지 84: 8400개 수집됨
  페이지 85: 8500개 수집됨
  페이지 86: 8600개 수집됨
  페이지 87: 8700개 수집됨
  페이지 88: 8800개 수집됨
  페이지 89: 8900개 수집됨
  페이지 90: 9000개 수집됨
  페이지 91: 9100개 수집됨
  페이지 92: 9200개 수집됨
  페이지 93: 9300개 수집됨
  페이지 94: 9400개 수집됨
  페이지 95: 9500개 수집됨
  페이지 96: 9600개 수집됨
  페이지 97: 9700개 수집됨
  페이지 98: 9800개 수집됨
  페이지 99: 9900개 수집됨
  페이지 100: 10000개 수집됨
  페이지 101: 10100개 수집됨
  페이지 102: 10200개 수집됨
  페이지 103: 10300개 수집됨
  페이지 104: 10400개 수집됨
  페이지 105: 10500개 수집됨
  페이지 106: 10600개 수집됨
  페이지 107: 10700개 수집됨
  페이지 108: 10800개 수집됨
  페이지 109: 10900개 수집됨
  페이지 110: 11000개 수집됨
  페이지 111: 11100개 수집됨
  페이지 112: 11200개 수집됨
  페이지 113: 11300개 수집됨
  페이지 114: 11400개 수집됨
  페이지 115: 11500개 수집됨
  페이지 116: 11600개 수집됨
  페이지 117: 11700개 수집됨
  페이지 118: 11800개 수집됨
  페이지 119: 11900개 수집됨
  페이지 120: 12000개 수집됨
  페이지 121: 12100개 수집됨
  페이지 122: 12200개 수집됨
  페이지 123: 12300개 수집됨
  페이지 124: 12400개 수집됨
  페이지 125: 12500개 수집됨
  페이지 126: 12600개 수집됨
  페이지 127: 12700개 수집됨
  페이지 128: 12800개 수집됨
  페이지 129: 12900개 수집됨
  페이지 130: 13000개 수집됨
  페이지 131: 13100개 수집됨
  페이지 132: 13200개 수집됨
  페이지 133: 13300개 수집됨
  페이지 134: 13400개 수집됨
  페이지 135: 13500개 수집됨
  페이지 136: 13600개 수집됨
  페이지 137: 13700개 수집됨
  페이지 138: 13800개 수집됨
  페이지 139: 13900개 수집됨
  페이지 140: 14000개 수집됨
  페이지 141: 14100개 수집됨
  페이지 142: 14200개 수집됨
  페이지 143: 14300개 수집됨
  페이지 144: 14400개 수집됨
  페이지 145: 14500개 수집됨
  페이지 146: 14600개 수집됨
  페이지 147: 14700개 수집됨
  페이지 148: 14800개 수집됨
  페이지 149: 14900개 수집됨
  페이지 150: 15000개 수집됨
  최대 페이지 도달


✅ 총 15000개 작품 URL 수집

📝 Step 2: 상세 페이지 스크래핑 (5개씩)...
  새로 처리할 항목: 15000개

  배치 1/3000 (0개 수집됨)
  배치 2/3000 (5개 수집됨)
  배치 3/3000 (10개 수집됨)
  배치 4/3000 (15개 수집됨)
  배치 5/3000 (20개 수집됨)
  배치 6/3000 (25개 수집됨)
  배치 7/3000 (30개 수집됨)
  배치 8/3000 (35개 수집됨)
  배치 9/3000 (40개 수집됨)
  배치 10/3000 (45개 수집됨)
  배치 11/3000 (50개 수집됨)
  배치 12/3000 (55개 수집됨)
  배치 13/3000 (60개 수집됨)
  배치 14/3000 (65개 수집됨)
  배치 15/3000 (70개 수집됨)
  배치 16/3000 (75개 수집됨)
  배치 17/3000 (80개 수집됨)
  배치 18/3000 (85개 수집됨)
  배치 19/3000 (90개 수집됨)
  배치 20/3000 (95개 수집됨)
  배치 21/3000 (100개 수집됨)
  배치 22/3000 (105개 수집됨)
  배치 23/3000 (110개 수집됨)
  배치 24/3000 (115개 수집됨)
  배치 25/3000 (120개 수집됨)
  배치 26/3000 (125개 수집됨)
  배치 27/3000 (130개 수집됨)
  배치 28/3000 (135개 수집됨)
  배치 29/3000 (140개 수집됨)
  배치 30/3000 (145개 수집됨)
  배치 31/3000 (150개 수집됨)
  배치 32/3000 (155개 수집됨)
  배치 33/3000 (160개 수집됨)
  배치 34/3000 (165개 수집됨)
  배치 35/3000 (170개 수집됨)
  배치 36/3000 (175개 수집됨)
  배치 37/3000 (180개 수집됨)
  배치 38/3000 (185개 수집됨)
  배치 39/3000 (190개 수집됨)
  배치 40/3000 (195개 수집됨)
  배치 41/3000 (200개 수집됨)
  배치 42/3000 (205개 수집됨)
  배치 43/3000 (210개 수집됨)
  배치 44/3000 (215개 수집됨)
  배치 45/3000 (220개 수집됨)
  배치 46/3000 (225개 수집됨)
  배치 47/3000 (230개 수집됨)
  배치 48/3000 (235개 수집됨)
  배치 49/3000 (240개 수집됨)
  배치 50/3000 (245개 수집됨)
  배치 51/3000 (250개 수집됨)
  배치 52/3000 (255개 수집됨)
  배치 53/3000 (260개 수집됨)
  배치 54/3000 (265개 수집됨)
  배치 55/3000 (270개 수집됨)
  배치 56/3000 (275개 수집됨)
  배치 57/3000 (280개 수집됨)
  배치 58/3000 (285개 수집됨)
  배치 59/3000 (290개 수집됨)
  배치 60/3000 (295개 수집됨)
  배치 61/3000 (300개 수집됨)
  배치 62/3000 (305개 수집됨)
  배치 63/3000 (310개 수집됨)
  배치 64/3000 (315개 수집됨)
  배치 65/3000 (320개 수집됨)
  배치 66/3000 (325개 수집됨)
  배치 67/3000 (330개 수집됨)
  배치 68/3000 (335개 수집됨)
  배치 69/3000 (340개 수집됨)
  배치 70/3000 (345개 수집됨)
  배치 71/3000 (350개 수집됨)
  배치 72/3000 (355개 수집됨)
  배치 73/3000 (360개 수집됨)
  배치 74/3000 (365개 수집됨)
  배치 75/3000 (370개 수집됨)
  배치 76/3000 (375개 수집됨)
  배치 77/3000 (380개 수집됨)
  배치 78/3000 (385개 수집됨)
  배치 79/3000 (390개 수집됨)
  배치 80/3000 (395개 수집됨)
  배치 81/3000 (400개 수집됨)
  배치 82/3000 (405개 수집됨)
  배치 83/3000 (410개 수집됨)
  배치 84/3000 (415개 수집됨)
  배치 85/3000 (420개 수집됨)
  배치 86/3000 (425개 수집됨)
  배치 87/3000 (430개 수집됨)
  배치 88/3000 (435개 수집됨)
  배치 89/3000 (440개 수집됨)
  배치 90/3000 (445개 수집됨)
  배치 91/3000 (450개 수집됨)
  배치 92/3000 (455개 수집됨)
  배치 93/3000 (460개 수집됨)
  배치 94/3000 (465개 수집됨)
  배치 95/3000 (470개 수집됨)
  배치 96/3000 (475개 수집됨)
  배치 97/3000 (480개 수집됨)
  배치 98/3000 (485개 수집됨)
  배치 99/3000 (490개 수집됨)
  배치 100/3000 (495개 수집됨)
  배치 101/3000 (500개 수집됨)
  배치 102/3000 (505개 수집됨)
  배치 103/3000 (510개 수집됨)
  배치 104/3000 (515개 수집됨)
  배치 105/3000 (520개 수집됨)
  배치 106/3000 (525개 수집됨)
  배치 107/3000 (530개 수집됨)
  배치 108/3000 (535개 수집됨)
  배치 109/3000 (540개 수집됨)
  배치 110/3000 (545개 수집됨)
  배치 111/3000 (550개 수집됨)
  배치 112/3000 (555개 수집됨)
  배치 113/3000 (560개 수집됨)
  배치 114/3000 (565개 수집됨)
  배치 115/3000 (570개 수집됨)
  배치 116/3000 (575개 수집됨)
  배치 117/3000 (580개 수집됨)
  배치 118/3000 (585개 수집됨)
  배치 119/3000 (590개 수집됨)
  배치 120/3000 (595개 수집됨)
  배치 121/3000 (600개 수집됨)
  배치 122/3000 (605개 수집됨)
  배치 123/3000 (610개 수집됨)
  배치 124/3000 (615개 수집됨)
  배치 125/3000 (620개 수집됨)
  배치 126/3000 (625개 수집됨)
  배치 127/3000 (630개 수집됨)
  배치 128/3000 (635개 수집됨)
  배치 129/3000 (640개 수집됨)
  배치 130/3000 (645개 수집됨)
  배치 131/3000 (650개 수집됨)
  배치 132/3000 (655개 수집됨)
  배치 133/3000 (660개 수집됨)
  배치 134/3000 (665개 수집됨)
  배치 135/3000 (670개 수집됨)
  배치 136/3000 (675개 수집됨)
  배치 137/3000 (677개 수집됨)
  배치 138/3000 (682개 수집됨)
  배치 139/3000 (687개 수집됨)
  배치 140/3000 (692개 수집됨)
  배치 141/3000 (697개 수집됨)
  배치 142/3000 (702개 수집됨)
  배치 143/3000 (707개 수집됨)
  배치 144/3000 (712개 수집됨)
  배치 145/3000 (717개 수집됨)
  배치 146/3000 (722개 수집됨)
  배치 147/3000 (727개 수집됨)
  배치 148/3000 (732개 수집됨)
  배치 149/3000 (737개 수집됨)
  배치 150/3000 (742개 수집됨)
  배치 151/3000 (747개 수집됨)
  배치 152/3000 (752개 수집됨)
  배치 153/3000 (757개 수집됨)
  배치 154/3000 (762개 수집됨)
  배치 155/3000 (767개 수집됨)
  배치 156/3000 (772개 수집됨)
  배치 157/3000 (777개 수집됨)
  배치 158/3000 (782개 수집됨)
  배치 159/3000 (787개 수집됨)
  배치 160/3000 (792개 수집됨)
  배치 161/3000 (797개 수집됨)
  배치 162/3000 (802개 수집됨)
  배치 163/3000 (807개 수집됨)
  배치 164/3000 (809개 수집됨)
  배치 165/3000 (814개 수집됨)
  배치 166/3000 (819개 수집됨)
  배치 167/3000 (824개 수집됨)
  배치 168/3000 (829개 수집됨)
  배치 169/3000 (834개 수집됨)
  배치 170/3000 (839개 수집됨)
  배치 171/3000 (844개 수집됨)
  배치 172/3000 (849개 수집됨)
  배치 173/3000 (854개 수집됨)
  배치 174/3000 (859개 수집됨)
  배치 175/3000 (864개 수집됨)
  배치 176/3000 (869개 수집됨)
  배치 177/3000 (874개 수집됨)
  배치 178/3000 (879개 수집됨)
  배치 179/3000 (884개 수집됨)
  배치 180/3000 (889개 수집됨)
  배치 181/3000 (894개 수집됨)
  배치 182/3000 (899개 수집됨)
  배치 183/3000 (904개 수집됨)
  배치 184/3000 (909개 수집됨)
  배치 185/3000 (914개 수집됨)
  배치 186/3000 (919개 수집됨)
  배치 187/3000 (924개 수집됨)
  배치 188/3000 (929개 수집됨)
  배치 189/3000 (934개 수집됨)
  배치 190/3000 (939개 수집됨)
  배치 191/3000 (944개 수집됨)
  배치 192/3000 (949개 수집됨)
  배치 193/3000 (954개 수집됨)
  배치 194/3000 (959개 수집됨)
  배치 195/3000 (964개 수집됨)
  배치 196/3000 (969개 수집됨)
  배치 197/3000 (974개 수집됨)
  배치 198/3000 (979개 수집됨)
  배치 199/3000 (984개 수집됨)
  배치 200/3000 (989개 수집됨)
  배치 201/3000 (994개 수집됨)
  배치 202/3000 (999개 수집됨)
  배치 203/3000 (1004개 수집됨)
  배치 204/3000 (1009개 수집됨)
  배치 205/3000 (1014개 수집됨)
  배치 206/3000 (1019개 수집됨)
  배치 207/3000 (1024개 수집됨)
  배치 208/3000 (1029개 수집됨)
  배치 209/3000 (1029개 수집됨)
