Museum,Country,Exhibition ID,JSON File,Items Count,R2 Ready Count,Status
"Art Gallery of New South Wales","Australia","agnsw-collection","agnsw-collection.json",11800,11794,"✅ 완료(정상표시)"
"Museum of Contemporary Art Australia","Australia","mca-collection","mca-collection.json",1115,1115,"✅ 완료(정상표시)"
"National Gallery of Victoria","Australia","ngv-collection","ngv-collection.json",4865,4864,"✅ 완료(정상표시)"
"Queensland Art Gallery | Gallery of Modern Art","Australia","qagoma-collection","qagoma-collection.json",8883,8874,"✅ 완료(정상표시)"
"ALBERTINA Museum Vienna","Austria","albertina-permanent-collection","albertina-permanent-collection.json",2720,2692,"✅ 완료(정상표시)"
"ALBERTINA Museum Vienna","Austria","albertina-photography-100","albertina-photography-100.json",22002,21991,"✅ 완료(정상표시)"
"ALBERTINA Museum Vienna","Austria","albertina-poster-100","albertina-poster-100.json",2604,2600,"✅ 완료(정상표시)"
"Belvedere Museum","Austria","belvedere-collection","belvedere-collection.json",9263,9239,"✅ 완료(정상표시)"
"Kunsthistorisches Museum Vienna","Austria","khm-collection","khm-collection.json",2713,2713,"✅ 완료(정상표시)"
"Leopold Museum","Austria","leopold-museum-collection","leopold-museum-collection.json",3025,2580,"✅ 완료(정상표시)"
"Musées royaux des Beaux-Arts de Belgique","Belgium","fine-arts-be-collection","fine-arts-be-100.json",100,100,"✅ 완료(정상표시)"
"Museu de Arte de São Paulo","Brazil","masp-collection","masp-collection.json",3256,3255,"✅ 완료(정상표시)"
"Montreal Museum of Fine Arts","Canada","mbam-collection","mbam-collection.json",2537,2535,"✅ 완료(정상표시)"
"China Art Museum, Shanghai","China","china-art-museum-collection","china-art-museum-collection.json",670,669,"✅ 완료(정상표시)"
"Guangdong Museum of Art (GDMOA)","China","gdmoa-online-collection","gdmoa-online-collection-all.json",164,164,"✅ 완료(정상표시)"
"Long Museum","China","long-museum-collection","long-museum-collection.json",52,52,"✅ 완료(정상표시)"
"Nanjing Museum","China","njmuseum-collection-all","njmuseum-collection-all.json",646,646,"✅ 완료(정상표시)"
"National Art Museum of China","China","namoc-collection","namoc-collection.json",5216,5125,"✅ 완료(정상표시)"
"National Museum of China","China","nmc-highlights-all","nmc-highlights-all.json",107,107,"✅ 완료(정상표시)"
"Power Station of Art","China","psa-collection-all","psa-collection-all.json",415,415,"✅ 완료(정상표시)"
"Shanghai Museum","China","shanghaimuseum-paintings-all","shanghaimuseum-paintings-all.json",329,329,"✅ 완료(정상표시)"
"Shenzhen Museum","China","shenzhenmuseum-l0303-all","shenzhenmuseum-l0303-all.json",250,250,"✅ 완료(정상표시)"
"The Palace Museum (International)","China","dpm-intl-paintings","dpm-intl-paintings-all.json",9970,9970,"✅ 완료(정상표시)"
"Today Art Museum","China","today-art-museum-collection","today-art-museum.json",80,80,"✅ 완료(정상표시)"
"Zhejiang Art Museum","China","zjam-collection","zjam-collection.json",273,273,"✅ 완료(정상표시)"
"National Gallery Prague","Czech Republic","ngprague-collection","ngprague-collection.json",3855,3793,"✅ 완료(정상표시)"
"ARoS Aarhus Kunstmuseum","Denmark","aros-collection","aros-collection.json",2995,2967,"✅ 완료(정상표시)"
"Den Hirschsprungske Samling","Denmark","hirschsprung-perm","hirschsprung-collection.json",779,779,"✅ 완료(정상표시)"
"Ny Carlsberg Glyptotek","Denmark","glyptoteket-collection","glyptoteket-collection.json",625,625,"✅ 완료(정상표시)"
"Skagens Museum","Denmark","skagens-collection","skagens-collection.json",2125,2112,"✅ 완료(정상표시)"
"SMK – Statens Museum for Kunst","Denmark","smk-collection","smk-collection.json",7039,7038,"✅ 완료(정상표시)"
"Grand Egyptian Museum","Egypt","gem-collection","gem-collection.json",175,175,"✅ 완료(정상표시)"
"Ateneum Art Museum","Finland","ateneum-collection","ateneum-collection.json",5367,5339,"✅ 완료(정상표시)"
"Kiasma Museum of Contemporary Art","Finland","kiasma-collection","kiasma-collection.json",3028,3025,"✅ 완료(정상표시)"
"Sinebrychoff Art Museum","Finland","sinebrychoff-collection","sinebrychoff-collection.json",1365,1356,"✅ 완료(정상표시)"
"Bourse de Commerce - Pinault Collection","France","pinault-collection","pinault-collection.json",1310,1309,"✅ 완료(정상표시)"
"Centre Pompidou","France","pompidou-cinema-collection","pompidou-cinema-collection.json",1555,1555,"✅ 완료(정상표시)"
"Centre Pompidou","France","pompidou-painting-collection","pompidou-painting-collection.json",6768,6752,"✅ 완료(정상표시)"
"Centre Pompidou","France","pompidou-drawing-collection","pompidou-drawing-collection.json",7160,7138,"✅ 완료(정상표시)"
"Centre Pompidou","France","pompidou-newmedia-collection","pompidou-newmedia-collection.json",3857,3857,"✅ 완료(정상표시)"
"Centre Pompidou","France","pompidou-design-collection","pompidou-design-collection.json",1675,1674,"✅ 완료(정상표시)"
"Château de Versailles","France","versailles-collection","versailles-collection.json",4634,4634,"✅ 완료(정상표시)"
"Fondation Louis Vuitton","France","flv-collection","flv-collection.json",318,304,"✅ 완료(정상표시)"
"La Piscine - Musée d'Art et d'Industrie André Diligent","France","piscine-collection","la-piscine-collection.json",355,355,"✅ 완료(정상표시)"
"Maison Européenne de la Photographie","France","mep-photography","mep-photography-collection.json",94,94,"✅ 완료(정상표시)"
"Médiathèque du Patrimoine et de la Photographie","France","macval-collection","macval-collection.json",4788,4731,"✅ 완료(정상표시)"
"Mucem","France","mucem-collection","mucem-collection.json",3943,3885,"✅ 완료(정상표시)"
"Musée Carnavalet - Histoire de Paris","France","carnavalet-the-collection","carnavalet-paintings.json",398,398,"✅ 완료(정상표시)"
"Musée Condé","France","conde-paintings","musee-conde-paintings.json",813,813,"✅ 완료(정상표시)"
"Musée d'Art Moderne de Paris","France","mam-collection","mam-collection.json",6474,6474,"✅ 완료(정상표시)"
"Musée d'Art Moderne et Contemporain de Strasbourg","France","mamcs-strasbourg-collection","mamcs-strasbourg-collection.json",8525,8525,"✅ 완료(정상표시)"
"Musée d'Orsay","France","orsay-collection","orsay-collection.json",2666,2666,"✅ 완료(정상표시)"
"Musée de Grenoble","France","grenoble-collection","grenoble-collection.json",2133,2133,"✅ 완료(정상표시)"
"Musée de l'Armée - Invalides","France","musee-armee-collection","musee-armee-collection.json",1476,1476,"✅ 완료(정상표시)"
