id,museum,museumId,title,artist,year,category,medium,description,onDisplay,image,sourceUrl
"egyptian-cairo-block-statue-of-hetep","The Egyptian Museum in Cairo","egyptian-museum-cairo","Block Statue Of Hetep","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-bust-of-akhenaten-amonhotep-iv","The Egyptian Museum in Cairo","egyptian-museum-cairo","Bust Of Akhenaten Amonhotep Iv","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-ceremonial-throne-of-tutankhamun","The Egyptian Museum in Cairo","egyptian-museum-cairo","Ceremonial Throne Of Tutankhamun","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-chair-belonging-to-princess-satamun","The Egyptian Museum in Cairo","egyptian-museum-cairo","Chair Belonging To Princess Satamun","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-coffin-of-akhenaten","The Egyptian Museum in Cairo","egyptian-museum-cairo","Coffin Of Akhenaten","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-coffin-of-petosiris","The Egyptian Museum in Cairo","egyptian-museum-cairo","Coffin Of Petosiris","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-coffin-of-the-queen-ahmose-merytamun","The Egyptian Museum in Cairo","egyptian-museum-cairo","Coffin Of The Queen Ahmose Merytamun","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-coffins-of-padium","The Egyptian Museum in Cairo","egyptian-museum-cairo","Coffins Of Padium","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-colossal-quartzite-statue-of-tutankhamun","The Egyptian Museum in Cairo","egyptian-museum-cairo","Colossal Quartzite Statue Of Tutankhamun","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-colossal-statuary-group-of-amenhotep-iii","The Egyptian Museum in Cairo","egyptian-museum-cairo","Colossal Statuary Group Of Amenhotep Iii","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
